"会話ID","name","text","charId","演出備考"
"GAME_START_1","システム","……夜明け前。
村には、不吉な気配が満ちていた。","","種別=会話; 行=1/4; 参照=game_start:actions[0]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)]"
"GAME_START_1","システム","（嫌な予感がする……）","","種別=会話; 行=2/4; 参照=game_start:actions[0]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)]"
"GAME_START_1","村人","きゃあああっ！！","1003","種別=会話; 行=3/4; 参照=game_start:actions[0]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)]"
"GAME_START_1","システム","子供が魔物に襲われている！","","種別=会話; 行=4/4; 参照=game_start:actions[0]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)]"
"BATTLE_RETRY_TALK","？？？？","[N:301]よ、まだ倒れてはなりません。
私に残された最後の権能をもって、今一度、深淵を打ち倒す力を授けます…","9999","種別=会話; 行=1/2; 参照=game_start_retry:actions[0]; event=game_start_retry; actions=[CONV(value=""BATTLE_RETRY_TALK"") -> TEMP_LB_START(value=99,id=""game_start_retry_lb99"") -> HEAL -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[TEMP_LB_CLEAR(id=""game_start_retry_lb99"") -> STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2) -> LOG(value="""")]"
"BATTLE_RETRY_TALK","システム","不思議なちからで体力が全回復し、秘められた力が開放された！！","","種別=会話; 行=2/2; 参照=game_start_retry:actions[0]; event=game_start_retry; actions=[CONV(value=""BATTLE_RETRY_TALK"") -> TEMP_LB_START(value=99,id=""game_start_retry_lb99"") -> HEAL -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[TEMP_LB_CLEAR(id=""game_start_retry_lb99"") -> STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2) -> LOG(value="""")]"
"GAME_START_2","長老","おお……！助かった……。
子ども達を救ってくださり、本当にありがとうございます。","1001","種別=会話; 行=1/2; 参照=game_start:winActions[3]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)] || 参照=game_start_retry:winActions[4]; event=game_start_retry; actions=[CONV(value=""BATTLE_RETRY_TALK"") -> TEMP_LB_START(value=99,id=""game_start_retry_lb99"") -> HEAL -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[TEMP_LB_CLEAR(id=""game_start_retry_lb99"") -> STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2) -> LOG(value="""")]"
"GAME_START_2","長老","……その腕前、ただ者ではありますまい。
お願いがあるのです。村の奥の家まで来てくだされ。","1001","種別=会話; 行=2/2; 参照=game_start:winActions[3]; event=game_start; actions=[CONV(value=""GAME_START_1"") -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2)] || 参照=game_start_retry:winActions[4]; event=game_start_retry; actions=[CONV(value=""BATTLE_RETRY_TALK"") -> TEMP_LB_START(value=99,id=""game_start_retry_lb99"") -> HEAL -> BOSS(battleBg=""battle_bg_first"",value=[100001,100001])]; winActions=[TEMP_LB_CLEAR(id=""game_start_retry_lb99"") -> STEP(value=0) -> SUB(value=1) -> HEAL -> CONV(value=""GAME_START_2"") -> SUB(value=2) -> LOG(value="""")]"
"PROLOGUE","長老","おお、[N:301]様。
子ども達を救ってくださりありがとうございます。","1001","種別=会話; 行=1/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","実は、村の北東に突如大穴が開き、魔物が襲ってくるようになったのです…","1001","種別=会話; 行=2/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","村の若い衆で塞ごうとしたんですが、奥に巨大な化け物がいてどうにも手が出せず…","1001","種別=会話; 行=3/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","勝手なお願いとは思うのですが、どうか、化け物を討伐してくれないじゃろうか。","1001","種別=会話; 行=4/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
