分類,表示階層,内部基準,実装ルール
物語深淵,1～100,1～100,既存ストーリーボス・イベントを維持
ランダム深淵,1,101,全背景候補、旧101階相当の通常敵・レア抽選・宝箱・ドロップ
ランダム深淵,100,200,旧200階相当。専用200階ボス背景を使用
ランダム深淵,101,201,深層生成・真装備・ランダムボス抽選帯の開始
通常背景,ランダム1階以降,表示+100,テーマminFloor判定へバランス階層を使用
溶岩／浸水,ランダム1階以降,表示+100,旧解禁階をバランス階層で判定
宝箱,全階,表示+100（random）,装備・アイテム・Gold・実種をバランス階層で算出
ミミック,ランダム1階以降,表示+100,旧101～150は120302、旧151以降は120303
通常モンスター,ランダム1～100,101～200,abyssFloorsは表示階層、能力補正は表示+100
通常モンスター,ランダム101以降,201以降,深層生成候補をバランス階層で強化
ボス,10階刻み,表示+100（random）,新100階まで固定帯、新101階以降はdeep-random判定
深淵の裂け目,現在表示+10,対象表示+100,表示先と能力・報酬階層を分離
転送,物語／ランダム別,randomは表示+100,最高到達・料金・開始モードを個別管理
ギルド依頼,物語／ランダム別,random生成は表示+100,モード一致を討伐条件に含める
セーブ移行,旧101→新1,旧値をバランス値として保持,生成済みマップ・宝箱状態を保持し表示値だけ変換
